I am stupid, version 2
0,0,5
-1.0,-1.0,0.2720105554446849
-1.0,-0.95,0.03605761718387535
-1.0,-0.8999999999999999,-0.20213720907119684
-1.0,-0.8499999999999999,-0.42776412270188463
-1.0,-0.7999999999999998,-0.6267947350248272
-1.0,-0.7499999999999998,-0.7868542865548898
-1.0,-0.6999999999999997,-0.8979910496137727
-1.0,-0.6499999999999997,-0.9532950785566388
-1.0,-0.5999999999999996,-0.9493278367245315
-1.0,-0.5499999999999996,-0.886335987999548
-1.0,-0.4999999999999996,-0.7682360604393467
-1.0,-0.4499999999999996,-0.6023709355319172
-1.0,-0.39999999999999963,-0.39905330338932665
-1.0,-0.34999999999999964,-0.17092446962525293
-1.0,-0.29999999999999966,0.06783161980090387
-1.0,-0.24999999999999967,0.3023702676449519
-1.0,-0.19999999999999968,0.5181089967534283
-1.0,-0.1499999999999997,0.7016342178639219
-1.0,-0.09999999999999969,0.8415352216177452
-1.0,-0.049999999999999684,0.9291136412009854
-1.0,3.191891195797325E-16,0.9589242746631385
-1.0,0.05000000000000032,0.9291136412009846
-1.0,0.10000000000000032,0.8415352216177436
-1.0,0.15000000000000033,0.7016342178639199
-1.0,0.20000000000000034,0.5181089967534256
-1.0,0.25000000000000033,0.3023702676449486
-1.0,0.3000000000000003,0.06783161980090067
-1.0,0.3500000000000003,-0.17092446962525606
-1.0,0.4000000000000003,-0.39905330338932926
-1.0,0.4500000000000003,-0.6023709355319196
-1.0,0.5000000000000003,-0.7682360604393487
-1.0,0.5500000000000004,-0.8863359879995493
-1.0,0.6000000000000004,-0.949327836724532
-1.0,0.6500000000000005,-0.9532950785566384
-1.0,0.7000000000000005,-0.8979910496137715
-1.0,0.7500000000000006,-0.7868542865548879
-1.0,0.8000000000000006,-0.6267947350248246
-1.0,0.8500000000000006,-0.4277641227018808
-1.0,0.9000000000000007,-0.2021372090711935
-1.0,0.9500000000000007,0.03605761718387876
-0.95,-1.0,0.28346157643839826
-0.95,-0.95,0.03757556023090465
-0.95,-0.8999999999999999,-0.21064672231747825
-0.95,-0.8499999999999999,-0.4457720119229806
-0.95,-0.7999999999999998,-0.653181356888764
-0.95,-0.7499999999999998,-0.8199790487156939
-0.95,-0.6999999999999997,-0.9357944147974637
-0.95,-0.6499999999999997,-0.9934266166137183
-0.95,-0.5999999999999996,-0.9892923629925563
-0.95,-0.5499999999999996,-0.9236487018002096
-0.95,-0.4999999999999996,-0.8005770379497124
-0.95,-0.4499999999999996,-0.6277293714113714
-0.95,-0.39999999999999963,-0.41585253291647306
-0.95,-0.34999999999999964,-0.17811999807383963
-0.95,-0.29999999999999966,0.07068717553883437
-0.95,-0.24999999999999967,0.31509936294427454
-0.95,-0.19999999999999968,0.5399201981208024
-0.95,-0.1499999999999997,0.7311714104391611
-0.95,-0.09999999999999969,0.8769619258275885
-0.95,-0.049999999999999684,0.9682271961641182
-0.95,3.191891195797325E-16,0.999292788975378
-0.95,0.05000000000000032,0.9682271961641175
-0.95,0.10000000000000032,0.8769619258275869
-0.95,0.15000000000000033,0.731171410439159
-0.95,0.20000000000000034,0.5399201981207996
-0.95,0.25000000000000033,0.31509936294427116
-0.95,0.3000000000000003,0.07068717553883105
-0.95,0.3500000000000003,-0.1781199980738429
-0.95,0.4000000000000003,-0.41585253291647584
-0.95,0.4500000000000003,-0.6277293714113739
-0.95,0.5000000000000003,-0.8005770379497145
-0.95,0.5500000000000004,-0.923648701800211
-0.95,0.6000000000000004,-0.9892923629925569
-0.95,0.6500000000000005,-0.993426616613718
-0.95,0.7000000000000005,-0.9357944147974624
-0.95,0.7500000000000006,-0.8199790487156919
-0.95,0.8000000000000006,-0.6531813568887613
-0.95,0.8500000000000006,-0.4457720119229766
-0.95,0.9000000000000007,-0.21064672231747478
-0.95,0.9500000000000007,0.0375755602309082
-0.8999999999999999,-1.0,0.27728832953300614
-0.8999999999999999,-0.95,0.03675723693704469
-0.8999999999999999,-0.8999999999999999,-0.20605924262087827
-0.8999999999999999,-0.8499999999999999,-0.4360639565043584
-0.8999999999999999,-0.7999999999999998,-0.6389563256138473
-0.8999999999999999,-0.7499999999999998,-0.8021214851313376
